,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
2JsqQdMbBC2hh7GjsEjKFg,0.222149,0.07307530000000001,4.38,-25.78303,0.66,0.041801,0.9223399999999999,0.8998000000000002,0.11895699999999998,0.09563400000000001,92.38971,3.6,backgroundmusic
2SoQc6bippmMyUTn1qditv,0.5254099999999999,0.64539,4.22,-9.240890000000002,0.72,0.08304299999999999,0.4681303,0.0666723984,0.28227299999999994,0.6951299999999999,119.71814,3.55,classicmoroccanpop
1KZMCWImik3vA17zVLJ3c3,0.21311899999999998,0.166708,5.39,-18.83644,0.56,0.039689999999999996,0.96674,0.2102981021,0.15256099999999997,0.144698,102.87562,3.69,orthodoxchant
1i9zTcQqWUBTgIuCgxDW3S,0.43994000000000005,0.3484179999999999,5.05,-12.840060000000001,0.71,0.055323000000000004,0.89628,0.85515,0.141858,0.396229,107.26951,3.6,tar
0TcXdt4sbITbwCwwFbKYyd,0.78931,0.5181600000000001,5.14,-10.019599999999999,0.53,0.133222,0.148951894,0.11160149800000001,0.148528,0.73629,118.49992999999999,4.0,reggae
73BLB2ZMlXTieOIXEeOVDY,0.77595,0.640592,5.09,-8.64252,0.5,0.09227800000000003,0.0802227595,0.3183753887,0.21788000000000005,0.6762699999999999,132.73326999999998,3.99,ukdub
771SM1pTZn9UnCESjwHmmE,0.40191999999999994,0.6585909999999999,5.62,-8.145109999999999,0.45,0.04117,0.079881639,0.85706,0.182205,0.146869,123.27356999999998,3.82,russianpostrock
3sEVkAftmt4GT4hheDpDsC,0.50115,0.41017800000000015,5.47,-10.73504,0.39,0.033762999999999994,0.5350189999999999,0.006052349700000003,0.173935,0.339723,119.25433999999997,3.76,vietnamesepop
6VBe6cQvmjbByAhWav0Qbq,0.68338,0.85067,5.47,-5.28548,0.95,0.054921,0.24909500000000004,0.0047263393,0.306861,0.85442,135.12409,3.95,bandinhas
4CVeMaTHVqnDs13oYp0Hs6,0.366482,0.8663000000000001,5.69,-5.85108,0.56,0.084295,0.029060424699999997,0.46396318799999997,0.24448599999999998,0.22125899999999998,127.79866,3.87,belarussianmetal
0wJXJueXiwCAA8EYPYZqOF,0.7118099999999998,0.7990200000000001,5.51,-7.328929999999998,0.69,0.07624100000000002,0.38363970000000003,0.009268044599999999,0.15310400000000002,0.8549800000000001,136.30637000000002,4.0,merengue
3kbzqWhOrhZFXME9PpL8dg,0.29700299999999996,0.7795000000000001,5.52,-6.9778199999999995,0.67,0.061467999999999995,0.034737404599999994,0.5424854361000001,0.22788899999999998,0.27340899999999996,117.77699000000001,3.83,sludgemetal
0HphLqHgdLI5FsTHX3wCj3,0.69644,0.75626,5.48,-7.59976,0.47,0.081127,0.23806483999999997,0.0094912239,0.206943,0.7891200000000002,114.61425000000001,3.91,rif
2PuF72PN1DvyJOZJSk5L9I,0.6293599999999999,0.6285799999999999,5.41,-6.20605,0.3,0.057201999999999996,0.3878418,0.0002464654,0.17418,0.52337,124.52995000000001,3.96,israelimediterranean
52NjfVJ2mAEaeOorFvrGvk,0.53594,0.78511,5.3,-4.9828600000000005,0.82,0.063099,0.10390840800000001,0.00016732000000000004,0.20119199999999998,0.5633,130.45186,3.97,neonpoppunk
1KO29VXKVt1zMzch57JlRU,0.4729,0.63605,5.39,-8.12806,0.58,0.054286,0.21649001899999995,0.21226331990000002,0.193297,0.42416700000000007,128.95042,3.9,trondheimindie
2TX3gfOXHHoHZiMLK0SVmq,0.6664305555555556,0.6790277777777778,5.430555555555555,-8.707222222222223,0.7638888888888888,0.08639305555555556,0.44065708333333325,0.05745360736111111,0.16215555555555555,0.7328888888888889,112.48577777777778,3.875,marrabenta
1JEkVeDauPlvYRDE6sOcGJ,0.5932525252525251,0.3719292929292929,4.262626262626263,-12.013545454545454,0.8585858585858586,0.06695555555555557,0.8964040404040402,0.26081741949494947,0.20223737373737374,0.7457676767676767,122.42433333333331,3.9494949494949494,jugband
1ulrJ0uK6zy2P4bruCmiZ4,0.41169999999999995,0.9327200000000001,4.84,-5.04143,0.66,0.104031,0.009608279899999999,0.20221495579999996,0.209167,0.319214,124.16810000000001,3.89,thrashgroovemetal
04ZPZ3SUOh8GvHakbwkkg1,0.68707,0.72383,5.75,-7.606810000000003,0.52,0.11930999999999999,0.24795310000000004,0.0295970589,0.15992099999999998,0.6830799999999999,119.29070999999998,4.05,musiqueguadeloupe
6B1R2NhaSBVDEuKRDqhjAo,0.40070200000000006,0.8973400000000001,5.52,-5.72798,0.61,0.09138000000000002,0.0034065061,0.30463719079999996,0.250506,0.263143,130.83983999999998,3.92,latvianmetal
6oJ7aTA1gwk4WaPTB4l5oo,0.6868000000000001,0.5381499999999999,5.5,-8.205509999999999,0.39,0.12733899999999998,0.38717899999999994,0.0007677413999999999,0.143884,0.4781679999999999,120.08039000000001,3.98,rbbrasileiro
4K8cqoXccxo7fPmBEqVKQm,0.60369,0.585174,5.8,-14.3857,0.51,0.06278299999999999,0.3235994071,0.88661,0.17110400000000003,0.28669399999999995,124.19401999999998,3.95,ambienttechno
27smuYGRZZl9q0BCwda8en,0.4816239999999999,0.46905309999999983,5.5,-15.70259,0.5,0.09581800000000001,0.39250000739999996,0.6446109782,0.154483,0.26293500000000003,116.55295,3.79,glitch
3RbRDy3iktE2Zf0AP6cCK3,0.46105,0.9333500000000001,4.32,-3.78451,0.92,0.09678600000000001,0.0183544016,0.0169962038,0.24284299999999998,0.517765,134.02773,4.0,easycore
4xuMjOPD5nNuJqxDLtvAo7,0.39911,0.9452300000000001,5.69,-4.56691,0.51,0.12251500000000004,0.0078998324,0.11501948249999999,0.23617299999999997,0.23818899999999996,127.45296,3.93,germanmetalcore
1F4wNx9h2luKTSc1Tvx6fv,0.230626,0.6668470000000001,5.43,-9.838130000000001,0.47,0.07091,0.16156778569999997,0.7631502314,0.193214,0.08336600000000002,122.1365,3.82,ambientblackmetal
2jqAkE36tKTG48IdPF1917,0.21993300000000005,0.8671499999999999,5.67,-6.155949999999999,0.59,0.10794600000000003,0.0395784894,0.578269572,0.204156,0.10951500000000002,131.821,3.85,frenchblackmetal
71kedeh6L7P0equUL0vOqe,0.41515,0.9470400000000001,5.34,-4.111400000000001,0.47,0.11426599999999999,0.004803902400000001,0.041138423599999994,0.27810199999999996,0.277896,134.61123,3.94,metalcore
5HqaBtG1Clq1g28O0wKOAy,0.303767,0.8946900000000001,5.26,-5.969420000000001,0.6,0.083191,0.0034979551999999993,0.4069807245,0.19645200000000002,0.19133300000000006,127.11997,3.8,symphonicblackmetal
6tPZbh64wYuxEKSynffYk2,0.26027160493827156,0.8365555555555553,5.333333333333333,-5.253185185185185,0.5185185185185185,0.09643086419753087,0.026937193580246918,0.5158484507407407,0.23829753086419753,0.1694950617283951,126.51139506172841,3.8395061728395063,japaneseblackmetal
2n39wrdsYsdsEUrzMRYVdo,0.45297000000000004,0.8826599999999999,4.89,-4.806380000000001,0.82,0.07865,0.0117132544,0.032743873699999995,0.219343,0.49265600000000004,131.17856,3.96,canadianpoppunk
4P9bwV4vyjup4LWUj2iMUc,0.190651,0.8908099999999999,5.14,-6.3427500000000006,0.66,0.09641000000000002,0.030895902800000003,0.5962345480000001,0.19543400000000002,0.112203,129.26262,3.83,crypticblackmetal
6KCEBhb5eYhZfJQQBL6W3Q,0.44920000000000004,0.8507899999999999,5.61,-5.08805,0.55,0.057619,0.0205852855,0.024496637300000002,0.17314999999999997,0.4258409999999999,136.71325000000002,3.97,heavyalternative
