,SCHOOL,GENRES,PLAYLIST_LINK
0,Texas A & M University-College Station,"['reddirt', 'outlawcountry', 'texascountry', 'anthemworship', 'indiecoustica', 'rootsamericana', 'ccm', 'countryroad', 'moderncountryrock', 'contemporarycountry', 'worldworship', 'country', 'newamericana', 'rootsworship', 'worship', 'christianpop', 'christianuplift', 'hopebeat', 'folkpop', 'heartlandrock', 'modernrock', 'rootsrock', 'stompandholler', 'alternativecountry', 'austindie', 'christianalternativerock', 'christianmusic', 'countryrock', 'deepnewamericana', 'electropop', 'indiefolk', 'indiepoptimism', 'modernsouthernrock', 'neomellow', 'traditionalcountry']",https://embed.spotify.com/?uri=spotify:playlist:5QAomgXhxwYjg975DWtTTv
1,The University of Texas at Austin,"['modernrock', 'indiepop', 'pop', 'indiepoptimism', 'alternativerb', 'indietronica', 'electropop', 'poprap', 'indiegaragerock', 'rap', 'indierb', 'indiefolk', 'folkpop', 'hiphop', 'reddirt', 'artpop', 'escaperoom', 'indierock', 'indiesoul', 'outlawcountry', 'stompandholler', 'chamberpop', 'dancepop', 'texascountry', 'undergroundhiphop', 'vaporsoul', 'edm', 'newamericana', 'indiecoustica', 'chillwave', 'countryroad', 'electrohouse', 'electronictrap', 'vaportwitch', 'anthemworship', 'austindie', 'bedroompop', 'brostep', 'contemporarycountry', 'freakfolk', 'laindie', 'moderncountryrock', 'neomellow', 'popedm', 'shimmerpop', 'bedroomsoul', 'ccm', 'christianpop', 'christianuplift', 'country', 'hippop', 'noisepop', 'rb', 'southernhiphop', 'urbancontemporary', 'worldworship', 'basstrap', 'countryrock', 'deeppoprb', 'hopebeat', 'houstonrap', 'indieanthemfolk', 'lgbtqhiphop', 'metropopolis', 'neosoul', 'neopsychedelic', 'nycpop', 'phillyindie', 'rootsworship', 'traditionalcountry', 'trapqueen', 'tropicalhouse', 'worship']",https://embed.spotify.com/?uri=spotify:playlist:4W9OlLvHvQvywewRL4qikb
2,Ohio State University-Main Campus,"['pop', 'indiepoptimism', 'modernrock', 'indiepop', 'poprap', 'electropop', 'edm', 'electrohouse', 'dancepop', 'rap', 'hiphop', 'indietronica', 'popedm', 'electronictrap', 'indiefolk', 'stompandholler', 'tropicalhouse', 'brostep', 'folkpop', 'indierb', 'southernhiphop', 'undergroundhiphop', 'vaportwitch', 'newamericana', 'vaporsoul', 'alternativerb', 'chamberpop', 'gangsterrap', 'indieelectropop', 'neomellow', 'postteenpop', 'bigroom', 'hopebeat', 'indiecoustica', 'laindie', 'zapstep', 'anthemworship', 'basstrap', 'bedroompop', 'contemporarycountry', 'country', 'countryroad', 'dirtysouthrap', 'indiepoprap', 'indierock', 'progressivehouse', 'rock', 'atlhiphop', 'ccm', 'chicagorap', 'cincinnatiindie', 'columbusohioindie', 'countrypop', 'house', 'indiegaragerock', 'lapop', 'lgbtqhiphop', 'moderncountryrock', 'nycpop', 'poprock', 'progressiveelectrohouse', 'worldworship']",https://embed.spotify.com/?uri=spotify:playlist:05o0S8F3kWBhI56haK207q
3,University of Central Florida,"['pop', 'poprap', 'rap', 'hiphop', 'electrohouse', 'electronictrap', 'brostep', 'edm', 'undergroundhiphop', 'modernrock', 'southernhiphop', 'alternativerb', 'indiepoptimism', 'zapstep', 'dancepop', 'electropop', 'indiepop', 'indierb', 'indietronica', 'vaportwitch', 'deeppoprb', 'atlhiphop', 'basstrap', 'gangsterrap', 'melodicrap', 'popedm', 'rb', 'urbancontemporary', 'bedroompop', 'canadianelectronic', 'escaperoom', 'indierock', 'postteenpop', 'vaporsoul', 'chicagorap', 'filthstep', 'laindie', 'miamihiphop', 'trapqueen', 'vaportrap', 'anthemworship', 'artpop', 'basshouse', 'boyband', 'canadianpop', 'ccm', 'christianpop', 'deepccm', 'dirtysouthrap', 'electra', 'emo', 'folkpop', 'hippop', 'indiefolk', 'indiegaragerock', 'indiesoul', 'neomellow', 'poppunk', 'rock', 'tropicalhouse', 'worldworship', 'worship']",https://embed.spotify.com/?uri=spotify:playlist:0VtMzbA0tbdG3lASsuqOd5
4,Arizona State University-Tempe,"['edm', 'electrohouse', 'pop', 'electronictrap', 'brostep', 'poprap', 'rap', 'undergroundhiphop', 'hiphop', 'indiepoptimism', 'modernrock', 'vaportwitch', 'electropop', 'zapstep', 'alternativerb', 'indiepop', 'indietronica', 'popedm', 'basstrap', 'vaporsoul', 'southernhiphop', 'indiegaragerock', 'indierb', 'tropicalhouse', 'escaperoom', 'laindie', 'basshouse', 'dancepop', 'indieelectropop', 'aussietronica', 'chicagorap', 'filthstep', 'indierock', 'rock', 'alternativehiphop', 'atlhiphop', 'bedroompop', 'bigroom', 'calirap', 'canadianelectronic', 'conscioushiphop', 'hopebeat', 'house', 'indiefolk', 'indiepunk', 'indiesoul', 'lapop', 'lgbtqhiphop', 'trapqueen']",https://embed.spotify.com/?uri=spotify:playlist:5GRqt1w3Kpi4TKeEimcF8D
5,University of Florida,"['pop', 'modernrock', 'indiepoptimism', 'indiepop', 'poprap', 'edm', 'electrohouse', 'indietronica', 'electronictrap', 'hiphop', 'brostep', 'rap', 'electropop', 'dancepop', 'undergroundhiphop', 'vaporsoul', 'popedm', 'southernhiphop', 'vaportwitch', 'alternativerb', 'indiefolk', 'indierb', 'postteenpop', 'zapstep', 'folkpop', 'indierock', 'stompandholler', 'basstrap', 'chamberpop', 'gainesvilleindie', 'hopebeat', 'indiegaragerock', 'laindie', 'newamericana', 'tropicalhouse', 'bedroompop', 'atlhiphop', 'boyband', 'chicagorap', 'contemporarycountry', 'country', 'countryroad', 'filthstep', 'gangsterrap', 'glitchhop', 'lgbtqhiphop', 'melodicrap', 'neomellow', 'poprock', 'rock', 'vaportrap']",https://embed.spotify.com/?uri=spotify:playlist:2POGMZfd89JWHvkhhJ8Ewx
6,University of Wisconsin-Madison,"['indiepoptimism', 'pop', 'electropop', 'modernrock', 'poprap', 'edm', 'indiepop', 'dancepop', 'vaporsoul', 'indierb', 'popedm', 'rap', 'electrohouse', 'hiphop', 'indiefolk', 'tropicalhouse', 'undergroundhiphop', 'alternativerb', 'folkpop', 'indietronica', 'indieelectropop', 'stompandholler', 'vaportwitch', 'electronictrap', 'southernhiphop', 'chamberpop', 'indiepoprap', 'newamericana', 'brostep', 'deepundergroundhiphop', 'hopebeat', 'artpop', 'bigroom', 'chicagorap', 'escaperoom', 'indieanthemfolk', 'indiegaragerock', 'lgbtqhiphop', 'neomellow', 'nycpop', 'postteenpop', 'bedroompop', 'indiepunk', 'indierock', 'indiesoul', 'indiecoustica', 'lapop', 'noisepop']",https://embed.spotify.com/?uri=spotify:playlist:446OjzIYAOHFbu1GWmyr4N
7,University of California-Los Angeles,"['alternativerb', 'pop', 'indierb', 'edm', 'electrohouse', 'popedm', 'electronictrap', 'electropop', 'brostep', 'indiesoul', 'poprap', 'indiepoptimism', 'rap', 'dancepop', 'hiphop', 'vaportwitch', 'tropicalhouse', 'vaporsoul', 'undergroundhiphop', 'bedroomsoul', 'calirap', 'basstrap', 'modernrock', 'rb', 'urbancontemporary', 'bedroompop', 'bigroom', 'deeppoprb', 'westcoasttrap', 'zapstep', 'indieelectropop', 'indiegaragerock', 'indiepop', 'neosoul', 'catstep', 'escaperoom', 'hippop', 'hyphy', 'indietronica', 'postteenpop', 'progressiveelectrohouse', 'southernhiphop', 'boyband', 'canadianelectronic', 'chillstep', 'chillwave', 'complextro', 'deepbigroom', 'laindie', 'lgbtqhiphop', 'neopsychedelic', 'newfrenchtouch', 'nycpop', 'progressivehouse', 'vaportrap']",https://embed.spotify.com/?uri=spotify:playlist:0HKwjdrkjD4c9tg6AfJzTe
8,University of Michigan-Ann Arbor,"['indiepoptimism', 'pop', 'modernrock', 'electropop', 'indiepop', 'poprap', 'edm', 'indierb', 'indietronica', 'alternativerb', 'dancepop', 'stompandholler', 'folkpop', 'indiefolk', 'popedm', 'tropicalhouse', 'vaporsoul', 'electrohouse', 'chamberpop', 'hiphop', 'rap', 'indieelectropop', 'newamericana', 'undergroundhiphop', 'vaportwitch', 'electronictrap', 'hopebeat', 'indiecoustica', 'nycpop', 'annarborindie', 'bedroomsoul', 'indiepoprap', 'indierock', 'indiesoul', 'neomellow', 'artpop', 'bedroompop', 'bigroom', 'brostep', 'collegeacappella', 'postteenpop', 'chicagorap', 'chineseindie', 'escaperoom', 'freakfolk', 'indiegaragerock', 'laindie', 'lgbtqhiphop', 'michiganindie', 'noisepop', 'rock', 'shimmerpop', 'southernhiphop']",https://embed.spotify.com/?uri=spotify:playlist:2COV4hCBzJHnnJ3rjo7bCz
9,University of Minnesota-Twin Cities,"['modernrock', 'pop', 'indiepoptimism', 'indiepop', 'electropop', 'indiefolk', 'poprap', 'folkpop', 'indierb', 'minneapolisindie', 'stompandholler', 'alternativerb', 'dancepop', 'rap', 'artpop', 'chamberpop', 'hiphop', 'indietronica', 'newamericana', 'undergroundhiphop', 'escaperoom', 'vaporsoul', 'electronictrap', 'freakfolk', 'hopebeat', 'indieelectropop', 'indiepoprap', 'indierock', 'indiecoustica', 'neomellow', 'diyemo', 'edm', 'electrohouse', 'indiegaragerock', 'midwestemo', 'postteenpop', 'alternativeemo', 'bedroompop', 'brostep', 'indieanthemfolk', 'indiepunk', 'laindie', 'metropopolis', 'minnesotahiphop', 'noisepop', 'nycpop', 'popedm', 'shimmerpop', 'vaportwitch', 'chicagorap', 'deepundergroundhiphop', 'eastcoasthiphop', 'hardcorehiphop', 'hyperpop', 'indiesoul', 'lapop', 'lgbtqhiphop', 'minneapolispunk', 'oldschoolhiphop', 'rock', 'tropicalhouse']",https://embed.spotify.com/?uri=spotify:playlist:4MiCSx0q6wM1O7NjNlJg5H
10,University of California-Berkeley,"['alternativerb', 'edm', 'indierb', 'electrohouse', 'pop', 'popedm', 'electropop', 'electronictrap', 'indiesoul', 'brostep', 'vaportwitch', 'indiepoptimism', 'vaporsoul', 'hiphop', 'basstrap', 'modernrock', 'poprap', 'rap', 'tropicalhouse', 'undergroundhiphop', 'escaperoom', 'indieelectropop', 'indiepop', 'koreanrb', 'artpop', 'bedroompop', 'bigroom', 'calirap', 'dancepop', 'indiefolk', 'indiegaragerock', 'indierock', 'khop', 'kpop', 'westcoasttrap', 'bedroomsoul', 'catstep', 'folkpop', 'hyphy', 'kindie', 'zapstep', 'chamberpop', 'complextro', 'freakfolk', 'koreanpop', 'neosoul', 'noisepop', 'canadianelectronic', 'chillstep', 'chillwave', 'dmvrap', 'hippop', 'indietronica', 'laindie', 'lgbtqhiphop', 'newfrenchtouch', 'oaklandindie', 'phillyindie', 'progressiveelectrohouse', 'rb', 'stompandholler', 'urbancontemporary']",https://embed.spotify.com/?uri=spotify:playlist:71XOUR7mbyV3EG3iZDPyGG
11,University of Illinois at Urbana-Champaign,"['pop', 'indiepoptimism', 'poprap', 'rap', 'hiphop', 'electropop', 'edm', 'modernrock', 'indiepop', 'southernhiphop', 'undergroundhiphop', 'alternativerb', 'popedm', 'vaportwitch', 'electrohouse', 'indietronica', 'vaporsoul', 'tropicalhouse', 'indierb', 'dancepop', 'electronictrap', 'chicagorap', 'indieelectropop', 'indiefolk', 'indierock', 'anthemworship', 'brostep', 'ccm', 'folkpop', 'indiegaragerock', 'stompandholler', 'worldworship', 'chamberpop', 'gangsterrap', 'vaportrap', 'basstrap', 'chillwave', 'christianalternativerock', 'christianmusic', 'dirtysouthrap', 'drill', 'escaperoom', 'worship', 'artpop', 'atlhiphop', 'bassmusic', 'chicagodrill', 'conscioushiphop', 'deeptropicalhouse', 'eastcoasthiphop', 'hippop', 'indiepoprap', 'indiecoustica', 'khop', 'koreanpop', 'lapop', 'lgbtqhiphop', 'mandopop', 'minneapolisindie', 'newrave', 'postteenpop', 'rb', 'rock', 'urbancontemporary', 'zapstep']",https://embed.spotify.com/?uri=spotify:playlist:1x17u4ltEdE3SnhKckwt1i
12,Pennsylvania State University-Main Campus,"['poprap', 'pop', 'rap', 'hiphop', 'southernhiphop', 'undergroundhiphop', 'indiepoptimism', 'electropop', 'dancepop', 'edm', 'popedm', 'electrohouse', 'modernrock', 'tropicalhouse', 'melodicrap', 'vaportrap', 'indiepop', 'gangsterrap', 'bigroom', 'indietronica', 'alternativerb', 'indiepoprap', 'atlhiphop', 'brostep', 'contemporarycountry', 'country', 'countryroad', 'deepundergroundhiphop', 'electronictrap', 'postteenpop', 'deepbigroom', 'moderncountryrock', 'progressiveelectrohouse', 'progressivehouse', 'vaporsoul', 'vaportwitch', 'chicagorap', 'countrypop', 'dirtysouthrap', 'indieelectropop', 'indierb', 'alternativehiphop', 'canadianhiphop', 'conscioushiphop', 'electropowerpop', 'hopebeat', 'indierock', 'indiecoustica', 'laindie', 'metropopolis', 'miamihiphop', 'newjerseyrap', 'nycpop', 'phillyrap', 'pittsburghrap', 'poppunk', 'rock', 'torontorap', 'trapsoul']",https://embed.spotify.com/?uri=spotify:playlist:5SKFzxUYGvZn2PT7UIEh8J
13,Michigan State University,"['pop', 'indiepoptimism', 'poprap', 'electropop', 'detroittrap', 'edm', 'rap', 'hiphop', 'dancepop', 'electrohouse', 'popedm', 'modernrock', 'undergroundhiphop', 'electronictrap', 'southernhiphop', 'tropicalhouse', 'vaportwitch', 'indierb', 'alternativerb', 'indiepop', 'vaporsoul', 'brostep', 'contemporarycountry', 'countryroad', 'indiepoprap', 'country', 'countrypop', 'indieelectropop', 'moderncountryrock', 'postteenpop', 'chicagorap', 'deepundergroundhiphop', 'hopebeat', 'indietronica', 'basstrap', 'bigroom', 'folkpop', 'michiganindie', 'nycpop', 'stompandholler', 'calirap', 'collegeacappella', 'conscioushiphop', 'detroithiphop', 'gangsterrap', 'hippop', 'indiefolk', 'indiegaragerock', 'indierock', 'rb', 'urbancontemporary']",https://embed.spotify.com/?uri=spotify:playlist:5GvgYS8YqyoJspk7QpYZRR
14,University of Washington-Seattle Campus,"['edm', 'electrohouse', 'electronictrap', 'indierb', 'pop', 'popedm', 'alternativerb', 'brostep', 'electropop', 'vaportwitch', 'indiepoptimism', 'vaporsoul', 'modernrock', 'basstrap', 'poprap', 'zapstep', 'indiepop', 'tropicalhouse', 'indieelectropop', 'indiesoul', 'indietronica', 'rap', 'bedroomsoul', 'hiphop', 'bedroompop', 'undergroundhiphop', 'bigroom', 'canadianelectronic', 'chamberpop', 'indiefolk', 'indierock', 'koreanrb', 'artpop', 'catstep', 'dancepop', 'folkpop', 'indiegaragerock', 'khop', 'progressiveelectrohouse', 'stompandholler', 'alternativedance', 'alternativehiphop', 'bigband', 'calirap', 'chillwave', 'escaperoom', 'filthstep', 'freakfolk', 'kindie', 'kpop', 'koreanpop', 'laindie', 'lgbtqhiphop', 'newamericana', 'nycpop', 'shimmerpop', 'stride', 'swing', 'vintagejazz', 'westcoasttrap']",https://embed.spotify.com/?uri=spotify:playlist:1Mov41VCVAisCkLqoFhC15
15,Purdue University-Main Campus,"['indiepoptimism', 'pop', 'modernrock', 'poprap', 'indiepop', 'electropop', 'rap', 'indiecoustica', 'indietronica', 'edm', 'dancepop', 'hiphop', 'popedm', 'anthemworship', 'electrohouse', 'tropicalhouse', 'ccm', 'indiepoprap', 'southernhiphop', 'christianpop', 'undergroundhiphop', 'contemporarycountry', 'deepundergroundhiphop', 'electronictrap', 'indieelectropop', 'christianuplift', 'country', 'countryroad', 'indierb', 'vaporsoul', 'brostep', 'gangsterrap', 'hopebeat', 'postteenpop', 'rootsworship', 'stompandholler', 'worship', 'alternativerb', 'atlhiphop', 'dirtysouthrap', 'laindie', 'moderncountryrock', 'neomellow', 'poprock', 'vaportwitch', 'acousticpop', 'bigroom', 'chicagorap', 'christianindie', 'countrypop', 'folkpop', 'indiefolk', 'worldworship', 'basstrap', 'christianmusic', 'cincinnatiindie', 'conscioushiphop', 'deepbigroom', 'indierock', 'lapop', 'nashvilleindie', 'nycpop', 'progressiveelectrohouse', 'rock', 'shimmerpop']",https://embed.spotify.com/?uri=spotify:playlist:198GbpCMJXQSBtnBzRfFpk
16,University of California-San Diego,"['edm', 'electrohouse', 'indierb', 'alternativerb', 'popedm', 'electronictrap', 'brostep', 'koreanrb', 'pop', 'khop', 'vaportwitch', 'poprap', 'electropop', 'kindie', 'kpop', 'koreanpop', 'rap', 'basstrap', 'hiphop', 'indiegaragerock', 'indiepoptimism', 'indiesoul', 'tropicalhouse', 'undergroundhiphop', 'vaporsoul', 'zapstep', 'bedroompop', 'bedroomsoul', 'dancepop', 'bigroom', 'calirap', 'catstep', 'indieelectropop', 'modernrock', 'canadianelectronic', 'chillstep', 'complextro', 'westcoasttrap', 'australianrock', 'boyband', 'broadway', 'deepdubstep', 'deeppoprb', 'filthstep', 'hyphy', 'laindie', 'lgbtqhiphop', 'postteenpop', 'progressiveelectrohouse', 'progressivehouse', 'rb', 'showtunes', 'urbancontemporary']",https://embed.spotify.com/?uri=spotify:playlist:0jRfK95lD0z00bWEOo0KwR
17,California State University-Fullerton,"['pop', 'edm', 'alternativerb', 'electrohouse', 'calirap', 'indierb', 'rap', 'poprap', 'electronictrap', 'brostep', 'popedm', 'westcoasttrap', 'hiphop', 'dancepop', 'electropop', 'indiesoul', 'southernhiphop', 'undergroundhiphop', 'deeppoprb', 'indiegaragerock', 'basstrap', 'hyphy', 'urbancontemporary', 'vaportwitch', 'zapstep', 'rb', 'bigroom', 'indiepoptimism', 'tropicalhouse', 'postteenpop', 'vaporsoul', 'bedroompop', 'bedroomsoul', 'canadianelectronic', 'gfunk', 'gangsterrap', 'indiesurf', 'koreanrb', 'laindie', 'neosoul', 'progressiveelectrohouse', 'boyband', 'escaperoom', 'funk', 'hippop', 'house', 'indieelectropop', 'indonesianpop', 'melodicrap', 'modernrock', 'moombahton', 'neopsychedelic', 'progressivehouse', 'trapsoul', 'vaportrap', 'westcoastrap']",https://embed.spotify.com/?uri=spotify:playlist:1fLOgh9D4fhwLIZRDODb3V
